# ground truth trajectory
# file: 'rgbd_dataset_freiburg2_pioneer_slam.bag'
# timestamp tx ty tz qx qy qz qw
1311878193.7868 -2.3174 -2.1669 0.5873 -0.7163 0.2094 -0.1836 0.6398
1311878193.7901 -2.3174 -2.1669 0.5874 -0.7163 0.2093 -0.1835 0.6399
1311878193.7934 -2.3174 -2.1669 0.5873 -0.7163 0.2095 -0.1836 0.6398
1311878193.7968 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878193.8000 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878193.8033 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1836 0.6400
1311878193.8067 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878193.8100 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1834 0.6399
1311878193.8134 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400
1311878193.8167 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1837 0.6399
1311878193.8200 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878193.8233 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878193.8267 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1837 0.6400
1311878193.8300 -2.3175 -2.1670 0.5874 -0.7164 0.2094 -0.1834 0.6398
1311878193.8333 -2.3174 -2.1669 0.5873 -0.7162 0.2094 -0.1835 0.6400
1311878193.8369 -2.3174 -2.1670 0.5874 -0.7162 0.2094 -0.1835 0.6399
1311878193.8402 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1837 0.6399
1311878193.8435 -2.3174 -2.1670 0.5874 -0.7162 0.2095 -0.1836 0.6399
1311878193.8469 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1834 0.6399
1311878193.8502 -2.3174 -2.1669 0.5874 -0.7163 0.2093 -0.1835 0.6399
1311878193.8535 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1836 0.6398
1311878193.8569 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1836 0.6398
1311878193.8602 -2.3173 -2.1669 0.5874 -0.7160 0.2094 -0.1836 0.6401
1311878193.8635 -2.3174 -2.1670 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878193.8669 -2.3173 -2.1669 0.5873 -0.7162 0.2094 -0.1837 0.6399
1311878193.8701 -2.3173 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6399
1311878193.8734 -2.3173 -2.1669 0.5874 -0.7161 0.2095 -0.1837 0.6400
1311878193.8767 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878193.8801 -2.3174 -2.1670 0.5874 -0.7163 0.2095 -0.1835 0.6398
1311878193.8834 -2.3174 -2.1669 0.5874 -0.7161 0.2094 -0.1836 0.6400
1311878193.8867 -2.3173 -2.1669 0.5874 -0.7159 0.2094 -0.1837 0.6402
1311878193.8901 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878193.8934 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400
1311878193.8968 -2.3173 -2.1669 0.5873 -0.7163 0.2094 -0.1836 0.6398
1311878193.9003 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1836 0.6400
1311878193.9036 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6399
1311878193.9069 -2.3174 -2.1670 0.5873 -0.7163 0.2095 -0.1835 0.6398
